,season,player_id,player,pos,age,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_percent,x2p_percent,e_fg_percent,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
452,2023,4760,Matisse Thybulle,SG,25.0,TOT,71,28.0,16.9,1.5,3.6,0.435,0.365,0.533,0.542,0.679,0.6,1.4,2.0,0.7,1.2,0.5,0.3,1.6,4.1
455,2023,4988,Matt Ryan,SF,25.0,TOT,34,0.0,9.1,1.2,3.2,0.37,0.381,0.333,0.519,0.833,0.1,0.6,0.8,0.5,0.1,0.0,0.2,0.8,3.6
458,2023,4181,Matthew Dellavedova,PG,32.0,SAC,32,0.0,6.7,0.5,1.6,0.34,0.333,0.348,0.43,0.571,0.0,0.4,0.4,1.3,0.2,0.0,0.3,0.6,1.5
459,2023,5082,Max Christie,SG,19.0,LAL,41,3.0,12.5,1.1,2.6,0.415,0.419,0.409,0.538,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1
460,2023,4763,Max Strus,SF,26.0,MIA,80,33.0,28.4,4.1,9.9,0.41,0.35,0.559,0.535,0.876,0.6,2.6,3.2,2.1,0.5,0.2,0.9,2.1,11.5
461,2023,4547,Maxi Kleber,C,31.0,DAL,37,5.0,25.1,2.1,4.6,0.456,0.348,0.667,0.571,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9
462,2023,4989,McKinley Wright IV,PG,24.0,DAL,27,1.0,12.4,1.7,3.6,0.469,0.321,0.529,0.515,0.684,0.3,1.4,1.7,2.1,0.3,0.2,0.7,0.9,4.2
463,2023,4116,Meyers Leonard,C,30.0,MIL,9,2.0,12.7,1.6,3.2,0.483,0.389,0.636,0.603,0.889,1.3,2.4,3.8,0.1,0.2,0.0,0.7,1.8,4.8
464,2023,4764,Mfiondu Kabengele,PF,25.0,BOS,4,0.0,9.0,0.5,1.8,0.286,0.0,0.5,0.286,1.0,1.3,1.3,2.5,0.0,0.5,0.0,0.3,0.8,1.5
465,2023,4990,Micah Potter,PF,24.0,UTA,7,0.0,7.4,1.4,2.1,0.667,0.571,0.75,0.8,1000.0,0.4,1.9,2.3,0.6,0.1,0.0,0.3,0.7,3.4
466,2023,4182,Michael Carter-Williams,PG,31.0,ORL,4,0.0,11.0,1.5,3.5,0.429,0.333,0.455,0.464,0.571,0.3,1.0,1.3,1.8,0.3,0.3,1.0,1.3,4.3
467,2023,5083,Michael Foster Jr.,PF,20.0,PHI,1,0.0,1.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,2023,4766,Michael Porter Jr.,SF,24.0,DEN,62,62.0,29.0,6.4,13.2,0.487,0.414,0.579,0.602,0.8,1.0,4.5,5.5,1.0,0.6,0.5,1.1,1.9,17.4
469,2023,4658,Mikal Bridges,SF,26.0,TOT,83,83.0,35.7,7.1,15.3,0.468,0.382,0.514,0.535,0.895,1.0,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1
472,2023,3779,Mike Conley,PG,35.0,TOT,67,66.0,30.3,3.9,9.1,0.428,0.385,0.486,0.539,0.834,0.5,2.2,2.7,6.7,1.1,0.2,1.5,2.1,11.9
475,2023,4183,Mike Muscala,C,31.0,TOT,63,9.0,15.0,2.1,4.6,0.449,0.391,0.588,0.587,0.769,0.6,2.6,3.2,0.8,0.2,0.4,0.4,1.6,6.1
478,2023,4991,Miles McBride,PG,22.0,NYK,64,2.0,11.9,1.2,3.4,0.358,0.299,0.457,0.451,0.667,0.2,0.6,0.8,1.1,0.6,0.1,0.4,0.9,3.5
